country,movie_count,avg_actual_rating,avg_predicted_rating,avg_error
USA,5803,5.43701533689471,5.474862470245487,0.6679362282770992
France,1588,6.198173803526449,6.2345029531685965,0.5067093779854458
UK,1369,5.907231555880204,5.903774091787688,0.597488748459246
India,1249,6.20320256204964,6.165787278240926,0.8184419126960355
Italy,1034,5.94110251450677,6.012757205750978,0.5760174479513471
Germany,962,6.058212058212058,6.074307996312032,0.5599765666385005
Canada,737,5.565264586160109,5.567413749773955,0.6195951056024287
Japan,693,6.451948051948052,6.453369087423209,0.501992737586949
Spain,562,5.876868327402135,5.914241567529915,0.5715467689206686
Hong Kong,376,6.088297872340425,6.019109829048649,0.5268690560933424
Turkey,313,5.775718849840256,5.912817479068779,0.7811511857426309
South Korea,260,6.311538461538461,6.254427854601362,0.42420217573434904
Sweden,248,5.874596774193549,5.899578571922196,0.5747364328109832
Australia,245,5.767755102040816,5.73254804799606,0.6497645189924052
Belgium,244,6.20655737704918,6.0960502488798705,0.5030624330424115
West Germany,243,6.081893004115226,6.105083391873193,0.5769581076663902
China,234,6.05897435897436,6.107853682765351,0.5814894287843674
Netherlands,221,6.120361990950226,6.1263282211858305,0.5413163284980437
Mexico,218,6.01605504587156,5.952551669834209,0.6470669453606819
Russia,215,5.793488372093023,5.80328549790268,0.7182756590345922
