feature,importance,category
total_votes,0.20877565049082064,Numeric
genre_Drama,0.14085466003228625,Genre
year,0.11999420104264427,Numeric
duration,0.11596003101389304,Numeric
genre_Horror,0.09165862726902284,Genre
lang_English,0.07052926838840619,Language
country_USA,0.05762739734689939,Country
max_actor_popularity,0.024687464003153834,Popularity
genre_Action,0.023622776193644657,Genre
genre_Animation,0.01790591875336173,Genre
lang_Hindi,0.015917186952088505,Language
genre_Sci-Fi,0.012789230955807092,Genre
director_popularity,0.01236436725990625,Popularity
genre_Comedy,0.009735267852999581,Genre
country_India,0.007907914810949676,Country
country_Turkey,0.007161871802683101,Country
genre_Thriller,0.0069023194695702755,Genre
country_Japan,0.006653027305560726,Country
lang_Russian,0.004300925597820044,Language
country_Italy,0.004063366460364512,Country
decade,0.00368160283623011,Derived
genre_Adventure,0.0035073911954319956,Genre
country_Sweden,0.0034218075098158087,Country
country_Russia,0.003074857388675624,Country
genre_Romance,0.0027918590391381387,Genre
genre_Crime,0.002149171036886516,Genre
lang_Cantonese,0.001946584858144485,Language
genre_Fantasy,0.001795984885370959,Genre
lang_Italian,0.001523338761954954,Language
country_UK,0.001421005567966077,Country
country_West Germany,0.0012555215361568768,Country
lang_Japanese,0.001236235618793755,Language
genre_Biography,0.0011780914543675096,Genre
country_Spain,0.001099652644561433,Country
genre_Mystery,0.0009781504400738902,Genre
lang_Portuguese,0.0009639499809474878,Language
lang_French,0.000917987628693944,Language
country_Canada,0.0008719437280798113,Country
country_South Korea,0.0007694370800113912,Country
country_France,0.000626307334582137,Country
genre_History,0.0005258298059169675,Genre
genre_Musical,0.0005073730880112162,Genre
genre_Family,0.0004954864464697377,Genre
lang_Tamil,0.000460221728590605,Language
lang_Korean,0.00042331652958980866,Language
genre_Music,0.0003970140505117769,Genre
lang_German,0.00028438966343694613,Language
country_Hong Kong,0.0002748650729964751,Country
country_Mexico,0.00026508614034183856,Country
country_Netherlands,0.00025338647610780127,Country
genre_Western,0.0002456401261312792,Genre
country_Belgium,0.0002363996479810461,Country
genre_Sport,0.00021470366825451065,Genre
lang_Spanish,0.00018650305208301417,Language
lang_Turkish,0.0001741571494626471,Language
country_Germany,0.00014513394343370083,Country
lang_Arabic,9.062127109426033e-05,Language
country_China,6.236932454739471e-05,Country
genre_Reality-TV,6.0871517471182136e-05,Genre
genre_War,4.447706731396247e-05,Genre
country_Australia,2.9289510849514092e-05,Country
lang_Mandarin,5.111916388596097e-07,Language
genre_Documentary,0.0,Genre
genre_Film-Noir,0.0,Genre
genre_News,0.0,Genre
genre_Adult,0.0,Genre
