year,movie_count,avg_actual_rating,avg_predicted_rating,avg_prediction_error,total_votes
1951,66,6.412121212121212,6.254262895838096,0.4685094466706332,66646
1952,81,6.374074074074073,6.183111445747899,0.41415837245858483,185123
1953,87,6.348275862068965,6.345650524783465,0.46987206484387933,357954
1954,85,6.323529411764706,6.412966606116969,0.46295865805972447,509235
1955,92,6.373913043478261,6.392965299255349,0.4961569323968366,168448
1956,66,6.415151515151515,6.445467510754598,0.4895737012702387,139102
1957,82,6.308536585365853,6.274347588093519,0.4520672526115893,222860
1958,100,6.407,6.38608770781853,0.3962128838112312,171998
1959,73,6.335616438356165,6.358760496908717,0.48425686603420065,322401
1960,88,6.3738636363636365,6.33043646867192,0.5548344803112332,234053
1961,83,6.273493975903615,6.345477943046131,0.5093641461750711,493185
1962,81,6.37037037037037,6.39503699958459,0.43757926360144483,296432
1963,77,6.394805194805195,6.329732918959574,0.4535559562486407,217960
1964,91,6.3901098901098905,6.414572821788065,0.5762380839193408,729417
1965,96,6.283333333333334,6.329976084933364,0.41598142394307075,129688
1966,105,6.375238095238095,6.330773166701315,0.34066397296472395,275442
1967,115,6.247826086956522,6.248529832880434,0.5705757327159049,303502
1968,130,6.194615384615385,6.176755980293498,0.5261932126534593,684078
1969,119,6.315126050420168,6.2169347019091505,0.6151747769254242,188179
1970,133,6.129323308270677,6.062855046170156,0.597688574854059,237684
1971,139,6.086330935251799,6.158636013592854,0.6415683524189776,348201
1972,138,6.118115942028985,6.105369683107164,0.5251409054153319,521733
1973,132,5.99090909090909,6.1427749866291945,0.5917246023986433,599003
1974,124,5.975806451612903,6.016666925490937,0.5439138014938991,1500878
1975,110,6.21,6.179577947806933,0.5772809174741401,240711
1976,116,6.118103448275862,6.183814854791129,0.5859577128359715,421325
1977,136,6.230147058823529,6.154162797788155,0.5922508400817761,539244
1978,107,6.193457943925234,6.1540141483082795,0.5442348577254937,487337
1979,130,6.228461538461539,6.1427466784833955,0.5700973486241054,1154577
1980,110,6.081818181818182,6.157248970214148,0.5570016349164387,2474630
1981,127,6.194488188976378,6.169784652317271,0.5791470482219292,740997
1982,134,6.022388059701493,6.006669479226063,0.6703970394046027,857765
1983,140,6.167857142857143,6.151430797170686,0.6185566973404436,666357
1984,135,6.0414814814814815,6.041886569453028,0.6880261061736943,918585
1985,113,5.925663716814159,5.895196285298888,0.6255519459397542,404841
1986,178,6.051685393258428,5.903102363872817,0.602995808569939,968345
1987,162,5.782098765432099,5.7586341542323565,0.7110727863349043,1450840
1988,174,5.689080459770115,5.751797965958711,0.6566574669320788,1469775
1989,151,5.801324503311259,5.83768997380633,0.6011107863059452,1649747
1990,156,5.9653846153846155,5.961972893721333,0.6262853456183424,2779021
1991,146,6.012328767123288,5.966753131610629,0.6113082158402736,1464149
1992,156,6.017948717948718,6.043444801350153,0.5707910396150533,2540225
1993,178,5.7561797752808985,5.881063220704469,0.7207540695830257,872949
1994,164,5.867073170731707,5.895342444415504,0.6128044093835188,3649885
1995,176,5.947727272727272,5.957327917951664,0.6551515106511542,2188691
1996,191,5.73979057591623,5.740487751654437,0.6300956005383493,1024478
1997,200,5.818,5.861953949125143,0.5651997234095684,4127475
1998,235,5.71531914893617,5.8067362362805195,0.6015154189128141,3704167
1999,279,5.8419354838709685,5.8255166699025125,0.606093099222502,2901854
2000,286,5.789510489510489,5.870639390120499,0.6464997029935257,3192710
2001,273,5.773260073260073,5.824165461837996,0.6729211009197036,2066848
2002,318,5.929874213836478,5.856850051857601,0.6378867380215542,7909978
2003,313,5.749840255591055,5.821744812814006,0.692324069576992,4091505
2004,357,5.778991596638655,5.77444554395439,0.7073726036622348,4785773
2005,391,5.672890025575447,5.7468664205428075,0.702555850252358,4776021
2006,437,5.691304347826087,5.71509642668841,0.6686346350047077,4904200
2007,433,5.670669745958429,5.695558901027635,0.6873772391397633,8539861
2008,455,5.740659340659341,5.735724116550501,0.7480916028288024,6255818
2009,437,5.626086956521739,5.7003477398625595,0.6867686893841822,6489099
2010,463,5.657235421166307,5.67484008387572,0.6602063197551042,5624958
2011,486,5.566460905349794,5.654672371888567,0.6932729235628505,6576356
2012,498,5.537951807228916,5.575471624925207,0.7401757239201698,4317148
2013,534,5.63183520599251,5.632504185833469,0.6631471870721276,6967652
2014,572,5.64527972027972,5.61093198438121,0.6844198590309083,7283425
2015,575,5.603130434782609,5.595686894173501,0.7274421266917545,6247110
2016,647,5.5782071097372485,5.596035844723595,0.6776446913721714,3530431
2017,658,5.685562310030395,5.674906498087913,0.6889392329800974,3453829
2018,662,5.613746223564955,5.677881307033411,0.6959872272824139,4128455
2019,550,5.779818181818182,5.7124618307084996,0.7655124203787013,3028562
2020,157,5.731210191082802,5.631178371680129,0.8468521158230903,372401
